Texto,Etiquetado
@giomaeli muchas gracias ??????,Positivo
"@alexisjosueh ¡Felicitaciones por este gran trabajo, Alexis! Eres todo un #OrgulloUPN ??????",Positivo
"@alexisjosueh felicidades, excelente trabajo????",Positivo
"@alexisjosueh felicitaciones, las fotografías salieron hermosas ??.",Positivo
Muchas gracias ??????,Positivo
????,Positivo
Un crack.,Positivo
??????,Positivo
??????,Positivo
Wow ????,Positivo
Un crack ??????,Positivo
Tremendo...¡ Qué genio!??,Positivo
Eow que capo????????,Positivo
??????,Positivo
@alxxpaul tú tmb hermano! Vamos por más,Positivo
@alexisjosueh eres el mejor hermano!,Positivo
@aaronluchini,Neutro
@jhefferson.11,Neutro
@estefa.nia.lm  Sí ya lo había visto. Espectacular?,Positivo
@maferrojasmontes,Neutro
"Genial, eres un capo????",Positivo
??????,Positivo
???????? hermosas fotos??,Positivo
@janethdari Que genioooo!!!??,Positivo
@fernando_silup  wow,Positivo
Súper ??????,Positivo
Capo! ??,Positivo
?????,Positivo
??,Positivo
Crack!! ????,Positivo
@alexisjosueh!!!! Felicidades!!,Positivo
@paulams_12,Neutro
@andreamed123 fotazos,Positivo
@ederron359,Neutro
Excelentes fotografías ¡Felicidades!,Positivo
??????,Positivo
??,Positivo
@alexisjosueh ????,Positivo
@medina_zapata_2003,Neutro
@chil_let @erickjair24,Neutro
"Estamos en cuarentena, es injusto que pongan fechas de pago cuándo hay muchos que trabajan y no tendrán ingresos. Sean conscientes por todo lo que el mundo está pasando.",Negativo
@universidadprivadadelnorte me gustaría que haya un elenco de danzas ??,Positivo
Tienen selección de varones ?,Positivo
@celesteoyanguren me caso ????,Neutro
@jeanpiers9 Un elenco de danza!!,Neutro
Un elenco de danza sería genial ???? @universidadprivadadelnorte,Neutro
????????????????????,Positivo
Para fútbol no hay??,Positivo
@victornv27 jajaja,Neutro
@mariella_chuquisengo y tú donde andas,Positivo
@hersonmilla jajaja eres mi fans ??,Positivo
@villanuevaruizanny ??????,Positivo
@villanuevaruizanny  Jajajaja ??,Positivo
publiquen cuando juegan partir a verlas,Negativo
Felicitaciones,Positivo
No hay de varones?,Positivo
"@shally_ledesma exacto , como se hace para participar",Positivo
@shally_ledesma  ni idea.. tbm quiero participar .  Alguna info.?,Positivo
@shally_ledesma Hay una convocatoria al inicio de cada ciclo. También puedes acercarte a la oficina de Vida Universitaria de tu campus para la pre inscripción en las pruebas técnicas. Te esperamos! ??,Neutro
Cuando se formó el equipo?,Positivo
Bravo ????????,Positivo
@gianluca.lescano ??,Neutro
@universidadprivadadelnorte información!! me gustaría formar parte del equipo!!!! ????,Positivo
????????,Positivo
Deberian tener judo !,Neutro
Bien sobrina ??,Positivo
@jeanapartwork salgo gordita????????,Neutro
@arianamagan24 wapaax??,Neutro
Bieen ahi @arianamagan24 @marroquinjufree,Positivo
"Como hago quiero pertenecer,",Positivo
@coronadomxx ??,Positivo
@ysabellpz_ JAJAJAJA,Positivo
Etiquétenlas pe ;v,Neutro
@davfor84 payaso ????????,Positivo
@mapi0916  no te veo a ti :vvv,Neutro
@arleth_yap ??,Positivo
@iamestacyv ????,Positivo
Felicidades chicassss!!!!!!... en alto??,Positivo
??????????????????,Positivo
@cesar_vasquez7  mira ?? si hay selección de voley @yamilegarro_11,Neutro
Yo tbm quiero participar ??,Positivo
Y de fútbol femenino?,Positivo
@val_lm22 epaaaaaa mi niña??? gracias peeeero tuuuuu más!!!!,Positivo
@gie_suarez16 preciosa ????,Positivo
??,Positivo
??????,Positivo
Mi bb....karlaps1807....??????,Positivo
Diablos ... cuando formaron el equipo?,Positivo
No hay de varones?,Positivo
"Yo también quiero participar , cuando serán las convocatorias?",Positivo
@jeanpiere1608 Felicitaciones y qué sean muchos éxitos más! ??,Positivo
Mi mejor momento ?? #bachiller #upn #universidadprivadadelnorte,Positivo
@miguelvasquez_1999 son nuestros graduados de todas nuestras carreras profesionales en nuestros campus de Trujillo ??,Neutro
administración seguro,Neutro
@limascooters Muchas gracias!,Positivo
Felicidades ????,Positivo
@luztomanguilla todas nuestras carreras profesionales de nuestros campus en Trujillo ??,Neutro
De qué carreras son?,Positivo
@ever2227 eniiiiisssss!!! Me mueroooo ...,Positivo
@enamestanzan hasta en la página de la universidad @liset.guti,Neutro
??????????????,Positivo
@estefanyvasquez.p por supuesto! Para nuestros graduandos de campus en Lima la ceremonia será este sábado 11/05. ??,Positivo
Para los que culminarom en la sede de Los Olivos... ¿No realizarán igual la ceremonia de graduación?,Positivo
@cordova8625 así es! Es la graduación de Trujillo ??,Positivo
Es de trujillo?,Positivo
@alej.yc obvio amiga nosotras en un futuro????,Positivo
@mamademica16 @angelica.quine nosotras en el futuro,Neutro
@pabloluna.a puedes compartirlas usando el #GraduacionUPN ??,Positivo
Gracias,Positivo
Como puedo mandar fotos de mi graduacion,Positivo
@fla0610jus siiii??????,Positivo
@fla0610jus y yo ? Un estratega más jaja,Neutro
@abigahile  nosotras el otro año ??,Positivo
Felicidades ????,Positivo
@helemeduviges Nuestro orgullo ????,Positivo
Nuestros logros ??????????????,Positivo
Hermosoooooo ??,Positivo
@universidadprivadadelnorte que es Graduandos?,Negativo
Felicidades ??????,Positivo
P,Neutro
asu increible??,Positivo
@dennisespinozamachado  choquin ese es tu proyecto,Neutro
??????,Positivo
El brazo robótico ya es un invento antiguo ???????.....,Negativo
??????,Positivo
"@moran.vega24 Ya pues hijito, cuando te veo en las noticias?",Positivo
@oyolasiguas,Neutro
??,Positivo
Bravazo!??,Positivo
Excelente jóvenes..... sigan así buscando la innovación y la transformación de nuestra sociedad.... éxitos....,Positivo
Suban el link del video para verlo. ??,Positivo
@marian.jauregui ??,Positivo
Felicidades chicas!?? @sandradanielacs Felicidades!,Positivo
Excelente...,Positivo
"Felicidades chicas, bien merecido....??",Positivo
????,Positivo
??,Positivo
??????,Positivo
??????,Positivo
????????????,Positivo
Genial!,Positivo
@xxalessandrx  voy a luxhar hasta el ultimo V:,Neutro
@angiegnll mi basquet para damas XXXDDDD,Neutro
....muy emocionante partido....bravo chicas.... UPN campeón...??,Positivo
@ellenxmg__ si ps manita nos ROBARON el triunfo como ya tu sabes .,Negativo
@arnld97_ qué pasó manito??? Te ganamos xdd,Neutro
????????????,Positivo
????????,Positivo
Bravooooo chicas ??????,Positivo
Que orgullo ??,Positivo
Felicidades guapas !!!,Positivo
Vamos Puppy! ??,Positivo
Vamos Fabián ?????? a darlo todo hasta el último aliento,Positivo
el sábado cae 10,Neutro
Tú puedes ?? concéntrate a mil y muchos éxitos ??,Positivo
Tu puedes crack??,Positivo
????????,Positivo
Éxitos ??,Positivo
Vamos Fabián...!!! El equipo UPN está contigo,Positivo
??????????,Positivo
Me encantan los Panamericanos..no quiero que se acaben....estoy viendo fomo Peru gana el oro en Kata!!!VAMOS UPN..con su representante...Nuestro Representante!!! ??,Positivo
Vamos Fabian!!! #VamosPeru?? #VamosUPN??,Positivo
Buenas vibras!!!!,Positivo
"Señores upn más respeto para sus alumnos, los alumnos de derecho nos sentimos burlados por parte de ustedes, ya que hasta la fecha no tenemos coordinador y la respuesta de algunos colaboradores de la u soy irrisorias",Negativo
????,Positivo
